Time,prey,predator
42.94294294,3.25000442,14.99999117
43.04304304,3.25000428,14.99999144
43.14314314,3.25000416,14.99999170
43.24324324,3.25000403,14.99999195
43.34334334,3.25000391,14.99999219
43.44344344,3.25000380,14.99999242
43.54354354,3.25000368,14.99999264
43.64364364,3.25000357,14.99999286
43.74374374,3.25000347,14.99999308
43.84384384,3.25000336,14.99999328
43.94394394,3.25000326,14.99999349
44.04404404,3.25000316,14.99999368
44.14414414,3.25000307,14.99999388
44.24424424,3.25000297,14.99999407
44.34434434,3.25000288,14.99999425
44.44444444,3.25000280,14.99999441
44.54454454,3.25000272,14.99999457
44.64464464,3.25000265,14.99999472
44.74474474,3.25000257,14.99999486
44.84484484,3.25000250,14.99999500
44.94494494,3.25000244,14.99999514
45.04504505,3.25000237,14.99999527
45.14514515,3.25000231,14.99999539
45.24524525,3.25000225,14.99999551
45.34534535,3.25000219,14.99999563
45.44544545,3.25000213,14.99999575
45.54554555,3.25000208,14.99999586
45.64564565,3.25000202,14.99999597
45.74574575,3.25000197,14.99999607
45.84584585,3.25000191,14.99999618
45.94594595,3.25000186,14.99999628
46.04604605,3.25000181,14.99999639
46.14614615,3.25000176,14.99999649
46.24624625,3.25000171,14.99999659
46.34634635,3.25000166,14.99999669
46.44644645,3.25000160,14.99999680
46.54654655,3.25000156,14.99999688
46.64664665,3.25000152,14.99999696
46.74674675,3.25000148,14.99999704
46.84684685,3.25000144,14.99999712
46.94694695,3.25000141,14.99999719
47.04704705,3.25000137,14.99999726
47.14714715,3.25000133,14.99999733
47.24724725,3.25000130,14.99999740
47.34734735,3.25000126,14.99999747
47.44744745,3.25000123,14.99999754
47.54754755,3.25000120,14.99999760
47.64764765,3.25000117,14.99999766
47.74774775,3.25000114,14.99999772
47.84784785,3.25000111,14.99999779
47.94794795,3.25000108,14.99999785
48.04804805,3.25000105,14.99999791
48.14814815,3.25000102,14.99999796
48.24824825,3.25000099,14.99999802
48.34834835,3.25000096,14.99999808
48.44844845,3.25000093,14.99999814
48.54854855,3.25000090,14.99999820
48.64864865,3.25000087,14.99999825
48.74874875,3.25000085,14.99999830
48.84884885,3.25000082,14.99999835
48.94894895,3.25000080,14.99999840
49.04904905,3.25000078,14.99999845
49.14914915,3.25000075,14.99999849
49.24924925,3.25000073,14.99999854
49.34934935,3.25000071,14.99999858
